,desc,location,size,value
0,ROCKVILLA GARDENS,"Kangundo Road., Kangundo Road, Nairobi, Nairobi",3 Bedrooms,KSh 2950000
1,A Lovely And Modern 4 Bedroom House All En Suite in Mombasa Road,"Mombasa Road., Mombasa Road, Nairobi, Nairobi",4 Bedrooms,KSh 32000000
2,"Mombasa Rd Near Kapa, 4 Bedroom Maisonette for sale","Syokimau, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 12800000
3,Farm(3 ACRES) and Redhill House for sale,"Red Hill, Nairobi, Nairobi",4 Bedrooms,KSh 180000000
4,Beautiful 3 Bedroom Bungalow With Own Compound (Quick Sale),"Saika Kangundo Road, Kangundo Road, Nairobi, Nairobi",3 Bedrooms,KSh 6700000
5,Beautiful Bungalows on Kenyatta Road,"Thika Road, Nairobi, Nairobi",3 Bedrooms,KSh 5500000
6,4 Bedroom House at Redhill Villas for sale.,"Limuru Road, Limuru road, Nairobi, Nairobi",5 Bedrooms,KSh 30000000
7,4 Bedroom House for sale in Embakasi - 3ke1218789,"Embakasi, Embakasi, Nairobi, Nairobi",4 Bedrooms,KSh 12500000
8,Luxurious 6 bedroom House For Sale in Garden Estate,"Garden Estate, Garden Estate, Nairobi, Nairobi",6 Bedrooms,KSh 58000000
9,Beautiful Maisonettes and Bungalows,"Thika Town, Kenyatta, Nairobi, Nairobi",4 Bedrooms,KSh 6750000
10,Elegant House in a Gated Community,"Fair Acres Road, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 94000000
11,Rosewood Estate,"Thika Road, Nairobi, Nairobi",3 Bedrooms,KSh 4250000
12,Maple Ridge Estate,"Waiyaki Way, Nairobi, Nairobi",3 Bedrooms,KSh 4500000
13,Prime Commercial Land On Langata Rd,"Langata, Langata, Nairobi, Nairobi",1 Bedrooms,KSh 550000000
14,"5 Bedroom House, Runda","Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 130000000
15,18 0830 SR Offering This Outstanding Ambassadorial Residence Sited Prominently at Lavington Green Estate. 2018 08 30,"near jaffery club, Lavington, Nairobi, Nairobi",9 Bedrooms,KSh 450000000
16,Expartric Ambassadorial 5 Bedroom House For Rent in Runda,"New rundaEliud mathu, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 400000
17,5 Bedroom House at Runda,"Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 140000000
18,Lovely Luxurious 5 Bedroom in Kitisuru,"Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 125000000
19,A Living Legend! Lavington Five Bedroom Townhouse,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 52000000
20,Luxurious 4 Bedrooms in Kitisuru,"Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
21,3 bedroom Maisonette House for sale in Avenue Park 1 in Embakasi Opp. Fedha Estate.,"Avenue Park 1 Estate, Embakasi, Nairobi, Nairobi",3 Bedrooms,KSh 15000000
22,Prestigious and Unique! Lavington Five Bedroom Townhouse With SQ,"amboselli lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
23,Palatial 5 Bedroom House in Karen,"Karen, Nairobi, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 115000000
24,Family maisonette for sale,"Muthaiga, Muthaiga, Nairobi, Nairobi",4 Bedrooms,KSh 70000000
25,Grand and cozy! Karen house,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
26,New 4 bedroom villa  plus DSQ  for sale in Rossylin,"Rosslyn Lone tree, Rosslyn, Nairobi, Nairobi",4 Bedrooms,KSh 66300000
27,Suburban Oasis! Runda Mae Ridge 5 bed house,"Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
28,Lavish Living ! Lavington 5 Bedroom Townhouse,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
29,New 5 bedroom double storey plus DSQ for sale along Bogani Rd in Karen,"Bogani Rd, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
30,Kitengela Three Bedroom Bungalow.,"Kitengela, Kajiado, Nairobi, Nairobi",3 Bedrooms,KSh 8750000
31,4 Bedroom Bungalow in Loresho,"Crescent, Loresho, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
32,Runda Paradise Fully Furnished Four Bedroom Villa,"Runda, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
33,Stylish Urban Villa in Karen,"Karen, Nairobi, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
34,"5 Bedroom House for sale, Lavington","Njumbi Road, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 95000000
35,Four Bedroom Exquisite Town Houses in Karen,"Karen, Nairobi, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 90000000
36,4 Bedroom (all Ensuite) Maisonette off Mombasa Road,"Mombasa road, Mlolongo, Mlolongo, Nairobi, Nairobi",4 Bedrooms,KSh 12000000
37,"4 bedroom House (all self-contained) + SQ for sale on Kiambu Road, opposite KIST - (LAST UNIT)","Kiambu Road, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 36000000
38,Bamboo  Gardens  - New 5 Bedroom Double- Storey Plus Sq  On Eighth Acre   for sale in Ruiru,"Bamboo Gardens Ruiru, Ruiru, Nairobi, Nairobi",5 Bedrooms,KSh 30000000
39,4 Bedroom Maisonette  at Mirema,"mirema drive, Kasarani, Nairobi, Nairobi",4 Bedrooms,KSh 16500000
40,Luxurious 5 Bedroom Villas in Karen,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 88000000
41,A Luxurious 5 Bedrooms House in Runda,"Close to UN, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 140000000
42,MOMBASA RD OPP. SYOKIMAU - 3 BEDROOMS MAISSONETTE PLUS SQ.,"Mombasa road-Near Nation printers., Mlolongo, Nairobi, Nairobi",3 Bedrooms,KSh 12500000
43,"Unique 4 Bedroom Villas for sale, Runda","Pan Afric Insurance Avenue, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
44,Newly Built Four Bedroom Townhouse in Kitisuru,"Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 60000000
45,Spacious 3 Bedroom Maisonette in Karen on 3/4 Acre Plot,"Karen, Karen, Nairobi, Nairobi",3 Bedrooms,KSh 43000000
46,5 Bedroom House On Grevillea Grove – Elite Garden Villas,"Grevillea Grove, Grevillea Grove, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
47,Luxurious & Premium 4 & 5 Bedroom Residential Development in Karen,"Karen, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 90000000
48,Beautiful & Spacious 5 Bedroom Townhouse on Brookside,"WESTLANDS, Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 60000000
49,4 Bedroom House in on 0.5 Acre in a Gated Community.,"windy ridge, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 78000000
50,Spacious and Luxurious Town House Syokimau,"Mombasa road, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 17000000
51,4 Bedroom Maisonette for sale in Mlolongo,"Mlolongo, Mlolongo, Nairobi, Nairobi",4 Bedrooms,KSh 8000000
52,Lower Kabete:5 Bedroom Townhouse,"lower kabete road, Lower Kabete, Nairobi, Nairobi",5 Bedrooms,KSh 120000000
53,A Homely Six Bedrooms Housed in the Heart of Old Runda,"runda groove, Runda, Nairobi, Nairobi",6 Bedrooms,KSh 90000000
54,Outstanding 5 Bedrooms House,"Mimosa, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
55,Elegant 5 Bedroom Villas in Karen,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
56,4 Bedroom Townhouse  for SALE in Runda(gated Community),"mumwe drive, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
57,5 BEDROOM 3 LEVEL AMBASSADORIAL VILLA  ON SALE IN KAREN,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
58,Stunning 5 Bedroom Villa  in Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 105000000
59,5 Bedroom Townhouse in Runda in a Gated Community,"runda water, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 90000000
60,4 Bedroom House Available for sale in South C,"South C, South C, Nairobi, Nairobi",4 Bedrooms,KSh 20000000
61,KAREN - 3 & 4 BEDROOMS HOUSES(X 2) ON 2 ACRES.,"OFF WINDY RIDGE, Karen, Nairobi, Nairobi",7 Bedrooms,KSh 165000000
62,6 Bedroom Townhouse Runda,"Pan African Insurance Ave , Runda, Runda, Nairobi, Nairobi",6 Bedrooms,KSh 140000000
63,Pristine Townhouse in Exclusive Location,"Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 62000000
64,Charming 5 Bedroom House all Ensuite in Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
65,NEW KITISURU - 4 BEDROOMS ALL - ENSUITE DOUBLE STOREY HOUSE PLUS STUDY ROOM.,"NEW KITISURU, Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 72000000
